,이름,차량번호,링크,연식,주행거리,연료,배기량,색상,보증정보,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_내차피해(가격)
0,쉐보레 더 뉴 스파크 1.0 프리미어,차량번호 119구3955,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178959&gubun=K,2021.07 (22년형),"16,250 km",가솔린,999 cc (75마력),흰색,"60개월 / 100,000km","1,100만원",75,0,0,1,0,0,1,0,1,0,0,등록,,,,,,,,,
1,현대 올 뉴 투싼 1.6 디젤 2WD  스마트,차량번호 359보9225,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179434&gubun=K,2018.11 (19년형),"67,696 km",디젤,"1,598 cc (136마력)",흰색,"60개월 / 100,000km","1,699만원",71,0,0,1,0,0,1,0,0,0,0,등록,1,0,0,0,0,1,"627,840",0,0
2,기아 더 뉴 봉고3  캠핑카 -   ,차량번호 98버3990,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2164449&gubun=K,2020.11,"29,000 km",디젤,"2,497 cc (133마력)",흰색,정보없음,"7,480만원",준비중,,,,,,,,,,,미등록,,,,,,,,,
3,GM대우 레스타  캠핑카 -   ,차량번호 76어6701,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2140460&gubun=K,2019.10,"12,000 km",디젤,"3,800 cc ()",흰색,불가,"9,600만원",준비중,,,,,,,,,,,미등록,,,,,,,,,
4,기아 더 뉴 봉고3  캠핑카 -   ,차량번호 99거1882,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178700&gubun=K,2020.05,"5,600 km",디젤,"2,497 cc (133마력)",흰색,정보없음,"7,150만원",준비중,,,,,,,,,,,미등록,,,,,,,,,
5,쌍용 렉스턴 스포츠 칸  2.2 디젤 4WD 캠핑카   ,차량번호 99로7710,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2166837&gubun=K,2021.06,"5,468 km",디젤,"2,157 cc (181마력)",흰색,정보없음,"6,980만원",준비중,,,,,,,,,,,미등록,,,,,,,,,
6,현대 포터2  캠핑카 -   ,차량번호 99서6599,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2164448&gubun=K,2021.06 (22년형),"8,652 km",디젤,"2,497 cc (133마력)",기타색상,"24개월 / 40,000km","7,600만원",준비중,,,,,,,,,,,미등록,,,,,,,,,
7,기아 더 뉴 봉고3  캠핑카 -   ,차량번호 987머9131,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2172465&gubun=K,2022.02,"1,600 km",디젤,"2,497 cc (133마력)",흰색,정보없음,"6,450만원",준비중,,,,,,,,,,,미등록,,,,,,,,,
8,현대 더 뉴 그랜드스타렉스  2.5 디젤 캠핑카 2WD   ,차량번호 99고1536,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2176172&gubun=K,2021.08,"5,761 km",디젤,"2,497 cc (175마력)",흰색,불가,"7,680만원",준비중,0,0,1,0,0,1,1,1,1,0,미등록,,,,,,,,,
9,제네시스 GV80 2.5 터보 AWD 5인승,차량번호 383루6620,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182390&gubun=K,2020.07,"16,400 km",가솔린,"2,497 cc (304마력)",흰색,불가,"6,550만원",102,1,0,1,1,1,1,1,1,0,1,등록,,,,,,,,,
10,현대 그랜저HG 300 익스클루시브,차량번호 37저5913,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179418&gubun=K,2015.07 (16년형),"156,383 km",가솔린,"2,999 cc (270마력)",검정색,만료,"1,050만원",28,0,0,0,1,1,1,0,1,0,1,등록,7,0,0,0,0,0,0,1,"402,280"
11,기아 쏘울 부스터 1.6 터보 노블레스,차량번호 184도5627,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179433&gubun=K,2019.02,"113,877 km",가솔린,"1,591 cc (204마력)",흰색,"60개월 / 100,000km","1,399만원",65,0,0,1,0,1,1,0,1,0,1,등록,,,,,,,,,
12,기아 더 뉴 K5 2.0 터보 노블레스,차량번호 20고4137,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179448&gubun=K,2013.07 (14년형),"101,708 km",가솔린,"1,998 cc (271마력)",흰색,만료,999만원,33,1,1,0,1,1,1,0,0,0,1,등록,5,0,0,0,0,4,"11,003,805",2,"1,069,456"
13,기아 더 뉴 K7 2.4 프레스티지,차량번호 41부1156,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179450&gubun=K,2012.11 (13년형),"124,578 km",가솔린,"2,359 cc (201마력)",진회색,만료,730만원,24,0,0,0,1,1,1,0,1,0,1,등록,4,0,0,0,0,3,"6,478,686",1,"1,259,900"
14,현대 쏘나타 2.0 프리미엄,차량번호 209버8609,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179592&gubun=K,2019.04 (20년형),"102,632 km",가솔린,"1,999 cc (160마력)",흰색,"60개월 / 100,000km","1,499만원",56,0,0,1,1,0,1,0,1,0,1,등록,1,0,0,0,0,1,"1,343,028",0,0
15,기아 스포티지R 2.0 디젤 2WD 리미티드,차량번호 55오8168,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179602&gubun=K,2012.12 (13년형),"145,000 km",디젤,"1,995 cc (184마력)",흰색,만료,799만원,27,1,0,1,1,1,1,0,1,0,1,등록,4,0,0,0,0,4,"3,302,793",2,"1,431,211"
